,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
245,jpeg-compression,vgg16,0.26568,0.25316387003528884,-0.02464609619478242,-1.2889492414499544,9.08039999528848e-11,0.00029135365559329997,4.34082411430359,186.84906718948355,-0.42635923533773745,0.036465070987977105,0.060095062934811296,0.21264098840684786,0.26417698131561285,0.2721678267520453
246,jpeg-compression,vgg19,0.25995999999999997,0.23673128061756488,-0.02952469207931202,-1.1829210017226042,9.136739997396559e-11,0.0002747299314879,4.011292609820366,173.84093700822837,-0.4061932014817433,0.0327967111821659,0.0571399073335398,0.2031520831931417,0.2547855142188073,0.25833366816172376
247,jpeg-compression,alexnet,0.18791999999999992,0.15035916683034978,0.022511483191824888,-0.8071287505898241,8.81938998827797e-11,0.0001659669395386,2.7185263811683598,114.97855594532018,-0.23516115793225167,0.024512822849787813,0.0331582564569194,0.12286309309102905,0.1519863939094544,0.15384358294052208
248,jpeg-compression,resnext,0.1272000000000001,0.05453355167005214,-0.014413476503880307,-0.16803867230665048,1.6159001220428237e-12,3.6172098813599994e-05,1.879702770528791,84.71491079673774,-0.21950801170456985,0.004522131403572813,0.008132794415641499,0.11150906644907166,0.1494111423134804,0.06849424909288848
249,jpeg-compression,wide_resnet,0.12246000000000001,0.0852883005287498,-0.0419568568437175,-0.36258253776499716,-2.3307000860534055e-12,8.936871839119998e-05,1.4569992040348012,67.58436480804448,-0.20237507127068027,0.008285735531840505,0.01971279513249989,0.09839284524367398,0.136193297600746,0.10645798064955703
250,jpeg-compression,densenet121,0.18156000000000005,0.15216675917841493,-0.039257736626054696,-0.7201089484976088,1.5247380007882283e-10,0.00018201539723069994,2.4398422229766865,108.4403819964981,-0.27195349964144877,0.018640581614170176,0.0386727894439929,0.13718057127778005,0.17582743102550508,0.17351496655518034
251,jpeg-compression,googlenet,0.18453999999999993,0.16298736180489892,-0.0036774977043325663,-0.899841982730369,6.3142999943283096e-12,0.00017702509723520001,2.8979222702026313,123.70885442535393,-0.25934511218741474,0.026134731055013793,0.0356700172592869,0.13908256239651728,0.16975514208078382,0.1693820834632267
252,jpeg-compression,mobilenet,0.21828000000000003,0.11764995411442591,0.034501701531893886,-0.6032307594615682,1.5622999855607889e-12,8.3979687295e-05,4.114114295377728,166.20431321014405,-0.24683539479983385,0.021714148978516506,0.016269396025514,0.16497731369603774,0.20029214642047877,0.11588161456138069
253,jpeg-compression5,resnet50,0.31327999999999995,0.1298746816116012,-0.015976170626082586,-0.4540254510857169,1.7089999120728505e-12,7.7184778203e-05,5.242907458939559,222.13495060173034,-0.43708154165551083,0.017012089992407706,0.0162486122254271,0.2419156980135979,0.3057697701263427,0.14344740021351252
254,defocus-blur,resnet18,0.43804,0.42981441823927685,0.026166227374245787,-2.4926493540399495,1.4583350000686723e-10,0.0004533374226253,8.551275374889375,347.3111488445473,-0.6406741459754429,0.0781133711526542,0.08860010262641389,0.3367138549010926,0.4006959803271294,0.4213888350928341
255,defocus-blur,resnet34,0.39898,0.38559998278616,-0.030265430184544695,-2.134049803519785,1.7056239992423172e-10,0.0004259997869549,6.999406552338598,292.66757362794885,-0.606086027226799,0.06345758430477229,0.0854687630633632,0.30933653950191675,0.3760486454463005,0.39501136748259424
256,defocus-blur,resnet101,0.37516,0.37267293876891966,-0.0826928155704047,-2.0126708654080407,1.788628000050363e-10,0.00042446233375150003,6.44852550117016,272.5205649910164,-0.6119575661543702,0.05727130706427622,0.08680385864276581,0.2992509788993034,0.3716531503009797,0.39401682656583437
257,defocus-blur,resnet152,0.36766000000000004,0.36676374688744545,-0.0912204476594981,-1.9644257651447514,1.85740699947326e-10,0.0004211499658905,6.2403265270996116,265.25135387926105,-0.6078928839208768,0.05519280193949119,0.0865354482631338,0.29499972748247894,0.372006553299427,0.39193141611804816
258,defocus-blur,vgg16,0.52124,0.5369272944978531,0.06966603234188659,-3.207770122569253,1.0800779996940346e-10,0.0005492650457975,11.673155179190637,461.0799567447471,-0.7890411979612166,0.1027502120319848,0.10612137729492649,0.4265542289859833,0.4946134998154641,0.5148686212241164
259,defocus-blur,vgg19,0.5226999999999999,0.525106946322983,0.05588416318562159,-3.08801455151679,1.0977960012391319e-10,0.0005441142263589,11.105113402466774,442.8709014078331,-0.7829845755921568,0.0979192362375651,0.1058781163664341,0.41667692257105726,0.48767139572143564,0.508874182239126
260,defocus-blur,alexnet,0.44861999999999996,0.42164292223721744,0.14543369169485998,-2.746462336222603,1.0453629997221603e-10,0.0003997178244908728,10.151983095245354,387.1526815476227,-0.5579423498649398,0.09331288945183161,0.0731933088311609,0.31588365087427817,0.35816174645662313,0.375785740395126
