Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
fog,resnet152,0.47688,0.5801172971336916,0.30369655468677137,1.8179210208596606,0.0010000000511622056,0.0004630386214123473,25.42081055510521,712.1588957759857,0.8497079961868226,0.16128281503938138,0.0804271540341106,1.0898579388718619,-0.32203204620361325,0.4602881050944772
fog,vgg16,0.33846,0.3916185176767409,0.27589408253320175,2.8298563193577806,0.0010000000407896005,0.00026241439759601464,21.75141639603615,560.2468823317719,1.139913290099364,0.12897566642237826,0.04081353752927964,0.9461665506578556,-0.4875764968371391,0.2749292957155563
fog,vgg19,0.34724,0.40530802309339864,0.28265496266902046,2.754852810971256,0.0010000000418815761,0.0002772991141085868,21.97775777531624,569.7286948789597,1.1203043902248442,0.13142691351566463,0.04369677264327894,0.9509685346389246,-0.4812109322667122,0.28812732326666207
fog,alexnet,0.14024,0.2591640291277133,0.2034723317057877,3.6428437629185537,0.0010000000339164398,0.00013429048780392805,18.895093722257613,447.95375894958494,1.3068714716299625,0.09930311391197146,0.017913078294899406,0.8635138468178656,-0.5825032023024559,0.16064737415294406
fog,resnext,0.69236,0.3549892953819595,0.1811973947731538,4.544849583945609,0.0010000000309175812,0.00016699284577393315,27.1480562615633,790.3191078201294,0.731283497730773,0.09182197704439983,0.030019856969761692,1.2022183527127284,-0.17729882600545882,0.2984436392173628
fog,wide_resnet,0.67772,0.5885042236211896,0.238206996981725,2.672671986534223,0.001000000032512471,0.0004203131218257795,28.001317604999542,825.7883472492218,0.6049170990238024,0.1450427187765762,0.07750111161573815,1.2311799572519806,-0.14273859043359757,0.5080064858181012
fog,densenet121,0.50678,0.5537752300526015,0.3020298831059588,1.947587975213977,0.0010000000502960757,0.00043184115244711393,24.979220721392632,693.8372350995254,0.8966926309774287,0.15731712941151113,0.07403097910195769,1.0782294447602419,-0.3337952579212189,0.4343903832199642
fog,googlenet,0.39712,0.3587499701660313,0.2784976973535424,3.4849611657245747,0.0010000000313529745,0.00022997620952839497,21.82404224081993,566.5146155885315,1.1230673271764635,0.11336448702447116,0.037387453549655336,0.961836362097296,-0.4706060025715828,0.2609393012035946
fog,mobilenet,0.46364,0.20037758315116166,0.1913754089781402,5.146260801409185,0.001000000029306393,8.568685818241647e-05,20.131146321697234,506.7489572568512,1.2128466298541614,0.06595866295823827,0.013750571794942552,0.9323121254362473,-0.5025317958450317,0.14273986750037554
elastic-transform,resnet18,0.48898,0.521103395058047,0.3108501050108415,2.1491534673283623,0.0010000000544521026,0.0004006864114967607,24.270149066557885,665.6165019445419,0.9384413720006894,0.1502245193452388,0.06839560832818868,1.0549061257556587,-0.3613909607768059,0.4056863129827555
elastic-transform,resnet34,0.52214,0.5807597894043103,0.30550423086454875,1.8231411550345222,0.0010000000566989184,0.0004634391934020459,25.451602127485277,714.2355857151032,0.8489147229258741,0.16077290172033012,0.08072876535394825,1.1007091234910755,-0.30492846853494643,0.4642719135491336
elastic-transform,resnet101,0.582,0.6546754159259051,0.29737122187110704,1.4506840033156474,0.0010000000612414442,0.0005486022828307159,26.682039245648383,767.4663942396164,0.7239234668219174,0.17137441443899645,0.09828691975098862,1.1580762411366943,-0.23347175780057908,0.5430594582138357
elastic-transform,resnet152,0.5959,0.6662050960053876,0.2973434819488657,1.4039228172292004,0.0010000000628479755,0.0005630597527519876,26.86335268073082,775.885151640358,0.7016839771363489,0.17245516559425741,0.1014428396892099,1.1714309536040435,-0.2162999695801735,0.5569973537636759
