,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
49,imagenetv2-matched-frequency-format-val,resnet101,0.11834,0.06398952199999997,-0.029883471000000023,-0.26686252099999996,0.0,8.163499999999993e-05,0.9510172399999988,43.64967909999996,-0.13065803200000004,0.005681997999999994,0.018181987999999982,0.0592952539999998,0.078411519,0.07981772399999998
50,imagenetv2-matched-frequency-format-val,resnet152,0.11332000000000009,0.06743446100000006,-0.03440813399999998,-0.274652974,0.0,8.532199999999998e-05,1.0258295100000012,47.49999060000005,-0.13673377599999997,0.005747750999999995,0.019070906999999998,0.068930288,0.091851462,0.08541141499999994
51,imagenetv2-matched-frequency-format-val,vgg16,0.12782000000000004,0.08450288399999994,-0.021541720999999958,-0.37049278100000005,0.0,0.00010123200000000004,1.3954432099999998,62.404570000000035,-0.15725295399999994,0.009462479999999995,0.021809389999999998,0.08122252100000016,0.10332243300000002,0.09816508099999999
52,imagenetv2-matched-frequency-format-val,vgg19,0.12675999999999998,0.08281624799999998,-0.02218912900000003,-0.36617968599999995,0.0,0.00010019599999999999,1.3180897400000013,59.13102489999994,-0.155797627,0.00922511199999998,0.021600041,0.07341753700000009,0.09608804300000001,0.09606048599999994
53,imagenetv2-matched-frequency-format-val,alexnet,0.13011999999999996,0.08087834500000002,0.00406604100000002,-0.390166483,0.0,8.8539e-05,1.5474870099999976,65.81943490000003,-0.13308115200000004,0.011939650999999996,0.018107163999999995,0.06841089100000008,0.08120109400000003,0.08536909199999998
54,imagenetv2-matched-frequency-format-val,resnext,0.10289999999999999,0.04491585299999995,-0.004582852999999998,-0.19604380200000016,0.0,3.371900000000001e-05,1.1073907299999988,50.3975478000001,-0.136991462,0.005373469000000006,0.0071713489999999935,0.06954313699999992,0.090918311,0.052715595000000004
55,imagenetv2-matched-frequency-format-val,wide_resnet,0.11334,0.05436634699999998,-0.028591735000000007,-0.25251924100000034,0.0,5.8896999999999975e-05,0.8498670500000003,39.45493110000007,-0.12249052999999999,0.005727372000000008,0.012827419999999992,0.05801370800000005,0.079588083,0.06636239
56,imagenetv2-matched-frequency-format-val,densenet121,0.12424000000000002,0.07541030599999998,-0.02460315099999999,-0.327203569,0.0,9.214300000000004e-05,1.18066284,53.49498850000009,-0.14198990700000003,0.007997450999999989,0.020002156999999993,0.06999428799999996,0.09303102199999999,0.09000191099999999
57,imagenetv2-matched-frequency-format-val,googlenet,0.11927999999999994,0.08481054700000001,-0.010680310000000026,-0.4547545919999998,0.0,9.2884e-05,1.533640160000001,65.95240749999994,-0.14224415300000004,0.01259932800000002,0.019009231,0.07653578400000005,0.08807248799999998,0.08960615700000002
58,imagenetv2-matched-frequency-format-val,mobilenet,0.12456,0.06671534000000001,0.017243989999999987,-0.3754871150000003,0.0,5.054900000000002e-05,1.9946118599999991,82.36564580000004,-0.12930025600000006,0.012355960999999999,0.009754856,0.09194933800000005,0.107639435,0.06562293699999999
