Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
imagenet-r,resnet152,0.033133333,0.591987881,0.315110322,1.683352098,0.001,0.000479716,25.45451256,716.4290226,0.822749945,0.161071348,0.084875615,1.119791518,-0.275301496,0.485677376
imagenet-r,vgg16,0.0227,0.515694182,0.288776938,1.938000997,0.001,0.000386847,24.12526157,654.7962431,0.983809676,0.155878136,0.063747778,1.02517709,-0.396451877,0.388015487
imagenet-r,vgg19,0.024333333,0.517156566,0.291510364,1.950848607,0.001,0.00038868,24.17305731,658.257473,0.976773105,0.154916974,0.064449518,1.041961841,-0.376127687,0.392852089
imagenet-r,alexnet,0.019366667,0.47338922,0.262922191,2.02141722,0.001,0.000336034,23.28705671,616.0059037,1.07825717,0.1542569,0.051872137,0.974528485,-0.45859107,0.334304368
imagenet-r,resnext,0.038866667,0.352478263,0.291683463,3.642441431,0.001,0.000217523,21.93828439,613.3862996,0.915305768,0.090230734,0.040150248,1.127191418,-0.258359147,0.305610556
imagenet-r,wide_resnet,0.0381,0.483909514,0.353415105,2.829222357,0.001,0.000369969,23.9172134,682.6373635,0.793767814,0.118466784,0.069653739,1.166329974,-0.211914131,0.428419514
imagenet-r,densenet121,0.030066667,0.543764439,0.305694312,1.883998291,0.001,0.000421503,24.64552996,680.8067739,0.914842364,0.15568876,0.072298483,1.073745431,-0.333275139,0.42943074
imagenet-r,googlenet,0.029133333,0.398107985,0.307041211,2.964650838,0.001,0.000273039,22.19314185,591.0922363,1.050342057,0.117129706,0.046915277,1.026500946,-0.387529544,0.311196468
imagenet-r,mobilenet,0.027033333,0.209322863,0.219131941,4.185674228,0.001,0.00010271,17.32043595,423.0230411,1.249894839,0.069180248,0.016613879,0.930436454,-0.495532717,0.152740235
imagenet-a,resnet50,0.145290048,0.267840489,0.20814537,3.851357638,0.001,0.000131254,20.62910693,529.4865112,1.176604644,0.088569024,0.020288072,0.964699364,-0.475007687,0.18792761
imagenet-a,resnet18,0.011442257,0.485547826,0.259611452,1.993057258,0.001,0.000346469,23.64569256,630.622363,1.05985458,0.156290563,0.053759439,0.983837487,-0.457730123,0.34292819
imagenet-a,resnet34,0.018626929,0.52712153,0.266652769,1.83043748,0.001,0.00039031,24.52287794,669.0383104,0.991752502,0.161667142,0.062843195,1.032369818,-0.398492349,0.388675094
imagenet-a,resnet101,0.047232571,0.563244964,0.269674993,1.671006538,0.001,0.000431271,25.1925818,697.4665227,0.929032863,0.166713056,0.071235994,1.059671319,-0.364576513,0.425038556
imagenet-a,resnet152,0.060271421,0.568932599,0.26760507,1.639062136,0.001,0.000436814,25.27661072,701.1613377,0.924401537,0.168050625,0.072122669,1.062201869,-0.360188479,0.429337002
imagenet-a,vgg16,0.0263438,0.490141731,0.262047672,1.976887166,0.001,0.000351707,23.71932523,634.6359439,1.05190501,0.156472447,0.054900499,0.994735976,-0.438165207,0.348896503
imagenet-a,vgg19,0.02102182,0.490051309,0.264135008,1.982299633,0.001,0.000352227,23.68480483,633.5583316,1.052196373,0.156300547,0.055094938,0.994576494,-0.436467057,0.350350994
imagenet-a,alexnet,0.017695583,0.41129051,0.238315631,2.304126765,0.001,0.00026908,22.04416798,563.894242,1.176363347,0.144259188,0.038501813,0.925068509,-0.518142607,0.271094694
imagenet-a,resnext,0.274747206,0.313879894,0.231935111,3.680076422,0.001,0.000167882,22.14022142,593.6633143,1.070545361,0.094991469,0.02769561,1.033034041,-0.397637904,0.235341232
imagenet-a,wide_resnet,0.221394359,0.432329033,0.281649709,2.92871368,0.001,0.000287919,23.97223344,662.6829923,0.95595241,0.122995796,0.049439906,1.074286224,-0.348534121,0.337147298
imagenet-a,densenet121,0.021420969,0.512435466,0.262135433,1.885252296,0.001,0.000374215,24.2277439,655.6452777,1.014896609,0.160000493,0.059384594,1.013079983,-0.42371305,0.369848874
imagenet-a,googlenet,0.017030335,0.368352768,0.247544522,2.903627154,0.001,0.000226818,21.81483333,561.8384476,1.161482751,0.123660395,0.034430245,0.951795358,-0.486507423,0.254784197
imagenet-a,mobilenet,0.033661522,0.200319101,0.165050869,4.088969548,0.001,8.35E-05,17.91451102,422.6537426,1.317048748,0.076626346,0.011103971,0.87621584,-0.569576075,0.125203685
