,Dataset,Model,Accuracy,Average Confidence,Standard Deviation Confidence,Average Entropy,Average mean,Average variance,Average skewness,Average kurtosis,Average top5 Entropy,Average top5 mean,Average top5 variance,Average top5 skewness,Average top5 kurtosis,top2_grad_confidence
30,imagenet-a,densenet121,-0.16346000000000005,-0.1419080984538793,0.0732459379617704,0.5370597705520939,1.4256690012565132e-10,-0.00018775841836540005,-2.0376666016387937,-96.87506134212492,0.3086615457041024,-0.008873530638460109,-0.043385333666538295,-0.15662663104620345,-0.22942103912830342,-0.1999255273702324
31,imagenet-a,googlenet,-0.17692000000000008,-0.18556521109770974,0.04064572575408443,0.9722249172874686,6.7311000523373465e-12,-0.00023309528142379996,-2.613704303741457,-121.38773669052125,0.34746434365010376,-0.019149046433214106,-0.051192293510044395,-0.18149453023181383,-0.2603565484952926,-0.23595157282423895
32,imagenet-a,mobilenet,-0.17114000000000007,-0.27890960347415883,-0.03339186363277791,2.1431673156085296,2.6779988816783007e-13,-0.0002869560286868,-3.444923931326869,-156.05816228710182,0.38124149704196897,-0.04863038420436901,-0.0573266778648696,-0.2195952736721125,-0.2999868866157531,-0.2975422524358352
46,imagenetv2-matched-frequency-format-val,resnet50,0.10985999999999996,0.04453508826356378,-0.003130893500480708,-0.18823051859665796,-1.630011230158157e-14,3.118921091520001e-05,1.3454580200290707,59.6538651564025,-0.13642750851918817,0.0056380359956249015,0.0065566404522856,0.07276651021463865,0.0963822058939933,0.0505741768898445
47,imagenetv2-matched-frequency-format-val,resnet18,0.12468000000000001,0.08090497128922491,-0.016452838055783237,-0.3573098734171023,2.3287699893459468e-11,9.630803847569998e-05,1.3346659893989532,59.90293207817081,-0.148657412181051,0.009150489379577298,0.020690664191201802,0.08324262001269411,0.1031058883357048,0.09399053828814463
48,imagenetv2-matched-frequency-format-val,resnet34,0.12304000000000004,0.07758380147539079,-0.02595149544560299,-0.33358193881123877,3.0118999959014015e-11,9.428846670609997e-05,1.2632929961395263,56.99028942489633,-0.14821061505295696,0.008032831973358995,0.020530928281600705,0.0800859595389678,0.09908561961174009,0.0921572992515266
49,imagenetv2-matched-frequency-format-val,resnet101,0.11834,0.06398952251875778,-0.029883471906872905,-0.26686252088097406,1.7946500188714687e-11,8.163441879350001e-05,0.9510172467517854,43.64967903362276,-0.13065803141032872,0.0056819981269165265,0.01818198796290492,0.05929525415195247,0.07841151842594149,0.07981772389127617
50,imagenetv2-matched-frequency-format-val,resnet152,0.11332000000000009,0.06743446131268516,-0.03440813390794972,-0.27465297367161445,2.3201599929495442e-11,8.532215837830004e-05,1.025829504818919,47.49999067428598,-0.13673377534211567,0.005747750238813493,0.019070907355313,0.06893028764119014,0.09185146240472791,0.08541141479290792
51,imagenetv2-matched-frequency-format-val,vgg16,0.12782000000000004,0.08450288344275203,-0.0215417215655474,-0.37049278049672296,5.7765999015441105e-12,0.00010123198473420002,1.395443216996192,62.40456994731903,-0.1572529546240169,0.009462480967417392,0.0218093897635582,0.08122252120979057,0.10332243299722679,0.09816508099055044
52,imagenetv2-matched-frequency-format-val,vgg19,0.12675999999999998,0.08281624823832878,-0.022189128613036513,-0.3661796861469522,9.187500153023942e-12,0.00010019630468799997,1.3180897382640815,59.13102490131382,-0.15579762670661568,0.009225111129880004,0.021600040915775,0.07341753709918009,0.0960880435347557,0.09606048608513484
53,imagenetv2-matched-frequency-format-val,alexnet,0.13011999999999996,0.08087834505671643,0.00406604124653509,-0.39016648246532526,1.659149987537356e-11,8.853922838430002e-05,1.5474870122957185,65.81943484142312,-0.13308115186474845,0.011939651435352916,0.01810716427328471,0.06841089047334736,0.0812010937952996,0.08536909192864711
54,imagenetv2-matched-frequency-format-val,resnext,0.10289999999999999,0.04491585284926003,-0.00458285222289842,-0.1960438026742608,-1.1384998846453165e-12,3.3719216335399986e-05,1.1073907287788387,50.39754778091435,-0.1369914617771824,0.005373468734584705,0.0071713486105138,0.06954313758519715,0.0909183111453057,0.0527155949832237
55,imagenetv2-matched-frequency-format-val,wide_resnet,0.11334,0.05436634643480176,-0.02859173476806781,-0.25251924070924536,1.629800027574957e-12,5.889731969889998e-05,0.8498670491409293,39.45493109878544,-0.12249053031570428,0.0057273713312298025,0.01282741941698079,0.05801370728006083,0.079588083231449,0.06636239040963898
56,imagenetv2-matched-frequency-format-val,densenet121,0.12424000000000002,0.0754103065983951,-0.02460315114718281,-0.32720356904102876,2.7234200138115394e-11,9.214327836019995e-05,1.1806628346157098,53.49498845073697,-0.1419899070113304,0.007997450965773284,0.020002157160147305,0.06999428753131753,0.09303102172613151,0.09000191148432768
57,imagenetv2-matched-frequency-format-val,googlenet,0.11927999999999994,0.08481054677944633,-0.010680310235245516,-0.45475459185843103,1.2479000038173593e-12,9.288454899639999e-05,1.533640154170989,65.95240750904077,-0.14224415260011758,0.012599327178243497,0.019009230658581802,0.07653578378241033,0.0880724887299538,0.0896061574464751
58,imagenetv2-matched-frequency-format-val,mobilenet,0.12456,0.06671534004224461,0.017243989960888606,-0.37548711499196497,-1.1758001256662043e-12,5.0548550734399984e-05,1.994611858973503,82.36564578517914,-0.12930025567723802,0.01235596161725,0.009754855932902099,0.09194933794823523,0.10763943446159357,0.06562293636686109
59,imagenetv2-threshold0.7-format-val,resnet50,0.03145999999999993,0.02046933634050191,0.0013510621028056946,-0.10010296357706228,-1.1338000850680263e-12,1.578457110920002e-05,0.5073515358543403,23.316806160201963,-0.05451294465479439,0.0027287568761222014,0.003271229324922298,0.034907672751871344,0.04752695906400681,0.023594359887139316
60,imagenetv2-threshold0.7-format-val,resnet18,0.032379999999999964,0.024756829765774313,-0.002881938529422645,-0.10601231729369487,6.512300030833695e-12,3.164933422899997e-05,0.3460435072422037,16.05486240081791,-0.04942600023355537,0.0022592148170992032,0.007021667800214598,0.024095562492774114,0.02931232810497278,0.030643972719582635
61,imagenetv2-threshold0.7-format-val,resnet34,0.032240000000000046,0.0254424252959341,-0.007503804960952987,-0.10391120941892285,9.280599943053969e-12,3.2069490461199995e-05,0.3894658056926765,18.168595157623372,-0.05101979013359714,0.0021363498547672943,0.007188819172831609,0.030505560608562465,0.04029609200477599,0.03309557670408447
62,imagenetv2-threshold0.7-format-val,resnet101,0.032340000000000035,0.019986616641078148,-0.006982257294204902,-0.0836382049322606,3.778800189424558e-12,2.7508852553200002e-05,0.24949742262840147,11.58051551128392,-0.043971769549852824,0.0014916135988757018,0.00626078594333912,0.014925885527812488,0.020448655254840895,0.026303080296381065
63,imagenetv2-threshold0.7-format-val,resnet152,0.03212000000000004,0.022423149369228623,-0.01047785611929311,-0.08663443154484274,6.6822998957133395e-12,2.9301838603099963e-05,0.3182384713602069,15.250023567276003,-0.04723689221715299,0.0015070500738173787,0.006705466771090601,0.0236944257632421,0.0336116592693329,0.03059443427318309
64,imagenetv2-threshold0.7-format-val,vgg16,0.034619999999999984,0.03217372480712832,-0.007228791344193519,-0.1375687032588252,-1.91850008102179e-12,4.0401099988499924e-05,0.48842867775440624,22.059885308341904,-0.06408724385846865,0.003135212229862905,0.008913955918194494,0.03144090755747775,0.037990452566146915,0.039364728788677916
65,imagenetv2-threshold0.7-format-val,vgg19,0.03695999999999999,0.030640156852323575,-0.007633497693047997,-0.13200804030798863,2.1559999879156022e-12,3.899629855119995e-05,0.44465129684448,20.19177917644504,-0.06356725859655254,0.0028528534460812993,0.008639285751415204,0.0247095318430528,0.030749631607532496,0.036624489355300494
66,imagenetv2-threshold0.7-format-val,alexnet,0.053219999999999934,0.034281546948570774,0.003139892952388701,-0.15678901643998766,4.519199901450999e-12,3.952577712010004e-05,0.6286642996835674,26.861872946052586,-0.06083240155134828,0.004479998223781617,0.008333582674546702,0.02491321625970766,0.03136431962490088,0.03789554777704163
67,imagenetv2-threshold0.7-format-val,resnext,0.03080000000000005,0.024878252421952796,0.0035956384854012036,-0.1318215789562851,9.549999679947518e-14,2.137464938639999e-05,0.4301394147586812,20.26364638664245,-0.0590974020042358,0.0034406513142213047,0.004421191866112402,0.02944729434887683,0.0413161509299278,0.028623453843351798
68,imagenetv2-threshold0.7-format-val,wide_resnet,0.029839999999999978,0.020146448958963115,-0.00810221024597832,-0.10485701463780073,2.8055999364007267e-12,2.3797934463699985e-05,0.24180520793914795,11.587947555389405,-0.04323239187534628,0.002177877506352899,0.005165811283930094,0.0199700904150677,0.0283448516845702,0.024940038871102965
69,imagenetsketch,resnet50,0.5099610335815763,0.17116686475198548,0.005949580061156506,-0.720400640743792,1.4454000062807948e-12,0.00010641691598241155,6.072213487659454,260.50071286048046,-0.5154044601778144,0.02528291130868081,0.021695943354502298,0.28971443514215267,0.36848211541083997,0.18295208576068092
70,imagenetv2-threshold0.7-format-val,densenet121,0.03934000000000004,0.02583442671649161,-0.006710243505671731,-0.10205529510396838,6.849899987504404e-12,3.302063238899992e-05,0.3774845552635213,17.784642669410687,-0.05296520128058679,0.0019990510509722004,0.007450880932222903,0.029021491754552153,0.038825176060199806,0.03372432475918352
71,imagenetv2-threshold0.7-format-val,googlenet,0.025479999999999947,0.033032205008529214,-0.002168431659719472,-0.17604504270012455,1.0850001452844538e-12,3.862359434010003e-05,0.5109389255046821,22.80365512428284,-0.05686555813337524,0.004364042437765697,0.008094764748345903,0.0296557623549929,0.0336128793525696,0.03678083052123582
72,imagenetv2-threshold0.7-format-val,mobilenet,0.03256000000000003,0.026662101344987754,0.0075526635951070065,-0.15352792731781495,-3.14320010991187e-12,2.159236945239998e-05,0.6404855535364113,27.31919333251949,-0.05180870537091398,0.0046529379892442935,0.004234735206861399,0.030048562770027765,0.03409882389783858,0.026882575887874183
73,imagenetv2-top-images-format-val,resnet50,-0.011230104947526298,0.004087946123023267,0.006987019973359293,-0.044496179853531714,5.693000324630271e-13,5.809790240100013e-06,-0.07941552902027382,-2.9544760725923425,0.006107196800866688,0.0010643856956701059,0.0010824743695191028,-0.0006886916368074036,0.0011268753681534932,0.003938059065801913
74,imagenetv2-top-images-format-val,resnet18,-0.03065588205897052,-0.01626083608014839,0.009090236051448597,0.07355095138000545,-5.800000237032865e-13,-1.8177608819899957e-05,-0.3154531704438668,-13.78678207921314,0.028118073253911025,-0.002141597973169901,-0.0037726645859463004,-0.015229441494182483,-0.023946018085639398,-0.0174144861861264
75,imagenetv2-top-images-format-val,resnet34,-0.028079390304847518,-0.012058147298867672,0.007957043557868582,0.0553626900765295,-3.418900145629733e-12,-1.4466713891600003e-05,-0.19320824963205752,-8.445280434450865,0.02205058383767411,-0.0015019124388163108,-0.0030380163547756855,-0.009354444880538049,-0.010253769828720408,-0.012463396932658632
76,imagenetv2-top-images-format-val,resnet101,-0.012766746626686643,-0.00922235260969928,0.008542901245268908,0.03905582285509146,-4.291599844594152e-12,-1.0633918478700015e-05,-0.15797780433426567,-7.309879142335717,0.01612069717306369,-0.0010271474077290788,-0.0022644921849036825,-0.009623982506142603,-0.014106721881032805,-0.010679696155548202
77,imagenetv2-top-images-format-val,resnet152,-0.018978950524737637,-0.009330217972246979,0.009756132331922907,0.03878104764883217,-3.1079000050587835e-12,-1.0752935147000033e-05,-0.16225559614778362,-7.27147142662011,0.017455916364014834,-0.000973351900833308,-0.002318618908040193,-0.0105830526715196,-0.013502996951074198,-0.01049643890952201
78,imagenetv2-top-images-format-val,vgg16,-0.020211934032983492,-0.0033652645629997924,0.004523788481764768,0.01725542987353157,-2.1500000130930674e-12,-3.095268508400027e-06,-0.08866049428674216,-3.4989527203440502,0.005943829184521521,-0.0006461485849109938,-0.0005449099904778071,-0.0024400210219746032,0.0010340978639368226,-0.001365022010869077
79,imagenetv2-top-images-format-val,vgg19,-0.016869685157421377,-0.005675346902065281,0.004720995433126485,0.025604608000528772,1.923300060879818e-12,-5.830547908600072e-06,-0.12591225192705835,-5.40559573979715,0.008654385317096391,-0.0008747988225499825,-0.0011523854203338985,-0.007048279053552209,-0.009628559697407085,-0.005669808423973244
80,imagenetv2-top-images-format-val,alexnet,-0.01478999500249878,-0.008140991584581259,0.0007730693052258042,0.04212855132756932,9.188999387788055e-13,-9.192169468999966e-06,-0.11824261175098272,-5.39817021865872,0.011299726893171269,-0.0013545420048554913,-0.0017700754803091912,-0.009655601835512284,-0.013563360300258231,-0.007936365381261301
81,imagenetv2-top-images-format-val,resnext,-0.009281209395302303,0.010117073481362315,0.009574216471148395,-0.07920295863043414,-5.987998725337507e-13,1.1760350482799991e-05,-0.007888722992721142,0.012853922119575145,-0.004605841391356891,0.002040873075612612,0.0022995352887665993,0.0013580554076066953,0.004594815127157301,0.010556123655439065
82,imagenetv2-top-images-format-val,wide_resnet,-0.007643608195902041,0.0005499380044329261,0.005541593529256705,-0.016418919605557303,1.895998549134026e-13,2.8572253433999627e-06,-0.05348319600522089,-2.2323460758279907,0.0033354550227747137,0.00020448668338871046,0.0005677615277350917,-0.0016951257562474176,-0.000594877671385198,0.0010375905027222299
83,imagenetv2-top-images-format-val,densenet121,-0.022376641679160425,-0.011063231437627552,0.008238621714355188,0.05376250574887431,-6.685299883124607e-12,-1.2810930650700094e-05,-0.1887414593751764,-8.187176418594277,0.019130970933880498,-0.0015541229052237204,-0.0026375491566175135,-0.008914524662980927,-0.011389600712034098,-0.011174914701352456
84,imagenetv2-top-images-format-val,googlenet,-0.031755232383808174,-0.014659842553546465,0.006183804912641533,0.07706811339174613,-1.319994460957652e-14,-1.5315730173999943e-05,-0.2769747266136058,-11.77318609729241,0.024778150391173037,-0.0024281481983220166,-0.0030447456448247923,-0.010811913434002562,-0.01726430955038971,-0.01437230054816585
85,imagenetv2-top-images-format-val,mobilenet,-0.026066186906546718,-0.004159189216883963,0.0030479083898450887,0.007837410839067971,-4.1154000780113664e-12,-1.3799126414000085e-06,-0.305443073668453,-12.005780370031971,0.015301077485964987,-0.0007162382726506045,-0.00028557014237100276,-0.013369572462784252,-0.016005912769606945,-0.00383420558999209
86,imagenetsketch,resnet18,0.4953045485449294,0.33515301574948386,0.011214491259977755,-1.7887263522849746,1.1190879993516756e-10,0.0003744277743705,5.8259056209465605,249.6396617635537,-0.5327997402421275,0.0527654935509414,0.0754624337681668,0.2725035876280386,0.3389725491765212,0.3478199855680119
87,imagenetsketch,resnet34,0.498422662946297,0.3143388620099241,-0.02359039788335432,-1.5918038385662316,1.3376549997876075e-10,0.00036451863951230003,5.185512132624908,226.40973491264788,-0.5285793025555986,0.0443791006609818,0.0752627306127912,0.26952768737005983,0.3355711907987566,0.3397380437066008
88,imagenetsketch,resnet101,0.5040655978463776,0.3161456462464518,-0.061389087986546687,-1.569968687596286,1.3431180018001754e-10,0.0003783604205163,4.911864749711295,217.098947771967,-0.5510410241545791,0.041653780822730524,0.07933554095596161,0.2586039334608299,0.3345382810590815,0.35225424814600786
89,imagenetsketch,resnet152,0.49778467548289485,0.30146925255440316,-0.06938510229071371,-1.4839403368060946,1.3050450000176572e-10,0.0003645216005002,4.546512283293339,203.14005928158417,-0.5317352220155078,0.0383558802837739,0.0769102561646574,0.25779129470667295,0.3351698196740092,0.34073721493625064
90,imagenetsketch,vgg16,0.5406041288243502,0.3395019790498912,0.010223746127487776,-1.7312510999570163,6.394520004650295e-11,0.00038777880927099996,5.771043453145392,249.38903565867463,-0.5623087869491521,0.0500093957894274,0.0793559512697674,0.28312599504163605,0.34842559894608693,0.35998009030178413
